year,module,student,programme,science,grade,mark,perc,first
2011,SPS9D8,1615537/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1515461/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1518140/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1613504/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1617371/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1612532/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2011,SPS9D8,1517116/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1715793/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1713711/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1715326/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1712727/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1723686/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1711259/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1818297/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2012,SPS9D8,1818333/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1815591/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1616910/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1814091/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1811158/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2013,SPS9D8,1820345/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1916652/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1922006/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1818277/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1912301/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1911388/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
2014,SPS9D8,1914729/1,Bachelor of Arts with Honours in Sports Studies,0,2C,13,65,0
